id;productnaam;productomschrijving;merk;img;link;oudeprijs;nieuweprijs;kleur;specialeactie;exclusief;uitverkocht;dames;heren;junior;gadgets;winter;fashion;outdoor;fietsenlopen;categorie;volgorde;actie;binnenkort;groeneprijs
128;Nello;Fietsbel;PALOMAR;Palomar_Nello_2H51D52022.jpg;#;;19,95;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;deals_for_wheels;334;NULL;NULL;NULL
129;Lucetta;Fietslicht;PALOMAR;PALOMAR_LUCETTA_2H51D52021_7070.jpg;#;;29,95;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;deals_for_wheels;337;NULL;NULL;NULL
130;Pulsar strobe;Led lamp;NATHAN ;NATHAN_PULSAR-STROBE_2931D52002_3015.jpg;#;9,95;7;#FF7EC1;;NULL;NULL;NULL;1;NULL;1;NULL;NULL;NULL;1;the_originals;340;NULL;NULL;NULL
132;Reflective R-Black sjaal;;BUFF;BUFF_REFLECTIVE-R-BLACK_3471d52004_7070_01_be.jpg;#;;21,95;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;deals_for_wheels;NULL;NULL;NULL;NULL
134;Flag;Jongens kousen;SPYDER;SPYDER_DISCOVER_6621D52009_2671.jpg;#;17;9;;;NULL;NULL;NULL;NULL;1;NULL;1;NULL;NULL;NULL;winter_wonderland;352;NULL;NULL;1
135;Technical junior;Kids handschoenen;ZIENER;ZIENER_TECHNICAL-GLOVE-JUNIOR_6722D52007_7030.jpg;#;24,99;17;;;NULL;NULL;NULL;NULL;1;NULL;1;NULL;NULL;NULL;winter_wonderland;355;NULL;NULL;1
136;Skibroek;Kids;CMP;CMP_SKIBROEK_6461D42026_4141.jpg;/cmp-skibroek-3w15994-6461d42026?id_colour=2296;;49,95;#000000 #FB4FAE #51DAF1 #9496A1;;NULL;NULL;NULL;NULL;1;NULL;1;NULL;NULL;NULL;winter_wonderland;358;NULL;NULL;NULL
137;Fleece;Jongens;CMP;CMP_FLEECE_6431D42016_4040.jpg;#;;19,95;#DD363E #000000 #D1E23C #3575E0;;NULL;NULL;NULL;NULL;1;NULL;1;NULL;NULL;NULL;winter_wonderland;361;NULL;NULL;NULL
138;Fleece;Meisjes;CMP;CMP_FLEECE_6331D42007_4343.jpg;#;;19,95;#F73D97 #F33644 #ffffff;;NULL;NULL;NULL;NULL;1;NULL;1;NULL;NULL;NULL;winter_wonderland;364;NULL;NULL;NULL
139;Strudel;Meisjes oorwarmers;BARTS;BARTS_STRUDEL_6717d52001_1111_01_be.jpg;#;;29,95;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;winter_wonderland;NULL;NULL;NULL;NULL
140;Super Beanie;Jongens;BARTS;BARTS_SUPER-BEANIE_6716d52018_7441_01_be.jpg;/barts-muts-super-6716d52018?id_colour=4452;;22,99;;;NULL;NULL;NULL;NULL;1;NULL;1;NULL;NULL;NULL;winter_wonderland;370;NULL;NULL;NULL
141;Sweet beanie;Meisjes;BARTS;BARTS_SWEET-BEANIE_6716d52009_4111_01_be.jpg;/barts-muts-sweet-6716d52009?id_colour=2271;;24,99;;;NULL;NULL;NULL;NULL;1;NULL;1;NULL;NULL;NULL;winter_wonderland;373;NULL;NULL;NULL
142;Polsberscherming;Kids;SINNER;SINNER_POLSBESCHERMING_7533d52001_7070_03_be.jpg;/sinner-polsbescherming-7533d52001?id_colour=4168;;24,99;;;NULL;NULL;NULL;NULL;1;NULL;1;NULL;NULL;NULL;winter_wonderland;376;NULL;NULL;NULL
143;Wintertrekker;Heren softshell;SUPERDRY;SUPERDRY_HOODED-WINDTREKKER_6286D52005_4252.jpg;#;;99,95;;Slechts;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL;NULL;winter_wonderland;379;NULL;NULL;NULL
144;Windtrekker;Heren softshell;SUPERDRY;SUPERDRY_WINDTREKKER_6286D52006_7426.jpg;/superdry-jas-hooded-windtrekker-6286d52005?id_colour=4130;;99,95;;Slechts;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL;NULL;winter_wonderland;382;NULL;NULL;NULL
145;Discover;Heren kousen;SPYDER;SPYDER_FLAG_6721D52005_7130.jpg;#;18;12;;;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL;NULL;winter_wonderland;385;NULL;NULL;1
146;Snow trail;Gore-tex handschoenen;REUSCH;REUSCH_SNOWTRAIL_5622d40021_7070_01_be.jpg;#;59,95;39;;;NULL;NULL;1;1;1;NULL;1;NULL;NULL;NULL;winter_wonderland;388;NULL;NULL;1
147;Gallix;Heren helm;SINNER;SINNER_GALLIX_7322d52008_7070_01_be.jpg;/index.cfm/fuseaction/products.search/?searchvalue=skinner+gallix;119,99;79;;;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL;NULL;winter_wonderland;391;NULL;NULL;NULL
